registration number,registration date,application number,application date,authors,authors in latin,patent holders,patent holders in latin,correspondence address,correspondence address in latin,invention name,patent starting date,Crimean invention application number for state registration in Ukraine,Crimean invention application date for state registration in Ukraine,Crimean invention patent number in Ukraine,receipt date of additional data to application,date of application to which additional data has been received,number of application to which additional data has been received,initial application number,initial application date,initial application priority date,previous application number,previous application date,paris convention priority number,paris convention priority date,paris convention priority country code,PCT application examination start date,PCT application number,PCT application date,PCT application publish number,PCT application publish date,EA application number,EA application date,EA application publish number,EA application publish date,application publish date,application publish number,patent grant publish date,patent grant publish number,revoked patent number,information about the obligation to conclude contract of alienation,expiration date,invention formula numbers for which patent term is prolonged,additional patent,actual,publication URL
﻿
2855402,20260130,2025108959,20250410,"Кловач Евгений Михайлович (RU)
Конушин Анатолий Анатольевич (RU)
Жапаров Мирлан Сарыгулович (RU)","

","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖИНИРИНГ+"" (RU)",,"129626, Москва, вн. тер. г. муниципальный окр. Алексеевский, пр-кт Мира, 102, стр. 37, этаж/помещ. 2/1, ООО ""ИНЖИНИРИНГ+""",,Комплекс иммерсионного охлаждения электронного оборудования,20250410,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855402
2855403,20260130,2025106278,20250317,"Катанович Андрей Андреевич (RU)
Цыванюк Вячеслав Александрович (RU)
Шеремет Александр Витальевич (RU)
Кочелаба Алексей Юрьевич (RU)","


","Федеральное государственное казенное военное образовательное учреждение высшего образования ""Военный учебно-научный центр Военно-морского Флота ""Военно-морская академия имени адмирала флота Советского Союза Н.Г. Кузнецова"" (RU)",,"197342, Санкт-Петербург, Ушаковская наб., 17/1, ФГКВОУ ВО ""ВУНЦ ВМФ ""Военно-морская академия имени Адмирала Флота Советского Союза Н.Г. Кузнецова""",,Система автоматического управления прокладкой подводного кабеля,20250317,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855403
2855404,20260130,2025106874,20250323,Ерендеев Сергей Геннадьевич (RU),Erendeev Sergei Gennadevich (RU),Ерендеев Сергей Геннадьевич (RU),Erendeev Sergei Gennadevich (RU),"141195, Московская обл., г. Фрязино, пр-кт Мира, 18-а, 124, Галкина Елена Сергеевна",,Серфинг-тренажер с регулируемой стоячей волной,20250323,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855404
2855405,20260130,2025112924,20250516,"Галдецкий Анатолий Васильевич (RU)
Богомолова Евгения Александровна (RU)
Савин Александр Николаевич (RU)
Медянкова Елена Владимировна (RU)","Galdetskii Anatolii Vasilevich (RU)
Bogomolova Evgeniia Aleksandrovna (RU)
Savin Aleksandr Nikolaevich (RU)
Mediankova Elena Vladimirovna (RU)","Акционерное общество ""Научно-производственное предприятие ""Исток"" имени А.И. Шокина"" (RU)",Aktsionernoe obshchestvo «Nauchno-proizvodstvennoe predpriiatie «Istok» imeni A.I. Shokina» (RU),"141190, Московская обл., г. Фрязино, ул. Вокзальная, 2а, корп. 1, ком. 65, этаж 2, АО ""НПП ""Исток"" им. Шокина""",,ВАКУУМНО-ПЛОТНОЕ ОКНО ВВОДА И/ИЛИ ВЫВОДА СВЧ-ЭНЕРГИИ,20250516,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855405
2855406,20260130,2025120877,20250729,"Колесниченко Илья Владимирович (RU)
Халилов Руслан Ильдусович (RU)
Мамыкин Андрей Дмитриевич (RU)
Митрополит Иван Юрьевич (RU)","Kolesnichenko Ilia Vladimirovich (RU)
Khalilov Ruslan Ildusovich (RU)
Mamykin Andrei Dmitrievich (RU)
Mitropolit Ivan Iurevich (RU)","Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук (RU)
Общество с ограниченной ответственностью ""Математические модели сплошных сред"" (RU)","Federalnoe gosudarstvennoe biudzhetnoe uchrezhdenie nauki Permskii federalnyi issledovatelskii tsentr Uralskogo otdeleniia Rossiiskoi akademii nauk (RU)
Obshchestvo s ogranichennoi otvetstvennostiu «Matematicheskie modeli sploshnykh sred» (RU)","614018, Пермский край, г. Пермь, ул. Академика Королева, 1, Вильдеман Ольга Васильевна",,Линейный индукционный насос бегущего и вращающегося магнитных полей,20250729,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855406
2855407,20260130,2025118561,20250704,"Климова Татьяна Георгиевна (RU)
Соловьев Владимир Алексеевич (RU)","Klimova Tatiana Georgievna (RU)
Solovev Vladimir Alekseevich (RU)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский университет ""МЭИ"" (ФГБОУ ВО ""НИУ ""МЭИ"") (RU)",federalnoe gosudarstvennoe biudzhetnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniia «Natsionalnyi issledovatelskii universitet «MEI» (FGBOU VO «NIU «MEI») (RU),"111250, Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЛЕФОРТОВО, ул. Красноказарменная, 14, стр. 1, ФГБОУ ВО ""НИУ ""МЭИ"", Логинова Наталья Арамовна",,Способ выявления момента изменения режима в релейной защите,20250704,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855407
2855408,20260130,2025122022,20250808,"Бессмертный Василий Степанович (RU)
Здоренко Наталья Михайловна (RU)
Гаевой Андрей Петрович (RU)
Владимиров Александр Андреевич (RU)
Жантуева Милана Михайловна (RU)","Bessmertnyi Vasilii Stepanovich (RU)
Zdorenko Natalia Mikhailovna (RU)
Gaevoi Andrei Petrovich (RU)
Vladimirov Aleksandr Andreevich (RU)
Zhantueva Milana Mikhailovna (RU)","Автономная некоммерческая организация высшего образования ""Белгородский университет кооперации, экономики и права"" (RU)","Avtonomnaia nekommercheskaia organizatsiia vysshego obrazovaniia «Belgorodskii universitet kooperatsii, ekonomiki i prava» (RU)","308023, Белгородская обл., г. Белгород, ул. Садовая, 116 а, АНО ВО ""БУКЭП"", Здоренко Наталья Михайловна",,Способ ангобирования пеностекла,20250808,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855408
2855409,20260130,2025117679,20250626,"Гайдаш Андрей Алексеевич (RU)
Геллерт Михаил Евгеньевич (RU)
Козубов Антон Владимирович (RU)
Наседкин Борис Александрович (RU)
Слобожанкин Игорь Сергеевич (RU)
Чистяков Владимир Викторович (RU)","Gaidash Andrei Alekseevich (RU)
Gellert Mikhail Evgenevich (RU)
Kozubov Anton Vladimirovich (RU)
Nasedkin Boris Aleksandrovich (RU)
Slobozhankin Igor Sergeevich (RU)
Chistiakov Vladimir Viktorovich (RU)","Общество с ограниченной ответственностью ""СМАРТС-Кванттелеком"" (RU)","Limited liability company ""SMARTS-Quanttelekom"" (RU)","199178, Санкт-Петербург, лн. 6-я В.О., 59, к. 1, литер Б, помещ. 17/6Н, ООО ""СМАРТС-Кванттелеком"", АЛЕКСЕЕВ АЛЕКСЕЙ ЛЕОНИДОВИЧ",,Блок получателя устройства квантовой коммуникации,20250626,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855409
2855410,20260130,2025116661,20250617,"Тюрина Анастасия Игоревна (RU)
Дворников Сергей Викторович (RU)
Аюков Борис Алексеевич (RU)
Васильева Дина Владимировна (RU)
Лапин Степан Павлович (RU)","Tiurina Anastasiia Igorevna (RU)
Dvornikov Sergei Viktorovich (RU)
Aiukov Boris Alekseevich (RU)
Vasileva Dina Vladimirovna (RU)
Lapin Stepan Pavlovich (RU)","Федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет аэрокосмического приборостроения"" (RU)",Federalnoe gosudarstvennoe avtonomnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniia «Sankt-Peterburgskii gosudarstvennyi universitet aerokosmicheskogo priborostroeniia» (RU),"190000, Санкт-Петербург, ул. Большая Морская, 67, лит. А, ФГАОУ ВО ""СПГУАП"", ЦКНИ",,Способ обнаружения сигналов без несущей,20250617,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855410
2855411,20260130,2024136678,20241206,"Новикова Светлана Николаевна (RU)
Камаев Владимир Владимирович (RU)
Булгакова Татьяна Ивановна (RU)","Novikova Svetlana Nikolaevna (RU)
Kamaev Vladimir Vladimirovich (RU)
Bulgakova Tatiana Ivanovna (RU)","Акционерное общество ""Курский электроаппаратный завод"" (RU)","Aktsionernoe obshchestvo ""Kurskii elektroapparatnyi zavod"" (RU)","305000, Курская обл., г. Курск, ул. Луначарского, 8, Тарасов Илья Игоревич",,Способ изготовления плавкого предохранителя с цельным пористым наполнителем,20241206,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855411
2855412,20260130,2024125537,20240830,"Басов Александр Евгеньевич (RU)
Клюев Александр Викторович (RU)","Basov Aleksandr Evgenevich (RU)
Kliuev Aleksandr Viktorovich (RU)","Общество с ограниченной ответственностью ""АйСиЭм Гласс Калуга"" (RU)",Obshchestvo s ogranichennoi otvetstvennostiu «AiSiEm Glass Kaluga» (RU),"121614, Москва, а/я 42, ООО ""Якшин и партнёры""",,СПОСОБ ПРОИЗВОДСТВА ФРАКЦИОННОГО УТЕПЛИТЕЛЯ ИЗ ВСПЕНЕННОГО СТЕКЛА,20240830,,,,,,,,,,,,,,,,,,,,,,,,,,20260130,4,,,,,false,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2855412
